Date, Time, Temp, Humidity, Pressure
2023-02-05, 14:35:45, 18.42 °C, 75.02% RH, 1031.50 hPa
2023-02-05, 14:35:55, 18.31 °C, 75.02% RH, 1031.40 hPa
2023-02-05, 14:36:05, 18.31 °C, 75.02% RH, 1031.46 hPa
2023-02-05, 14:36:15, 18.29 °C, 75.02% RH, 1031.49 hPa
2023-02-05, 14:36:25, 18.28 °C, 75.02% RH, 1031.50 hPa
2023-02-05, 14:36:35, 18.26 °C, 75.02% RH, 1031.50 hPa
2023-02-05, 14:36:45, 18.23 °C, 74.93% RH, 1031.50 hPa
2023-02-05, 14:36:55, 18.21 °C, 74.93% RH, 1031.50 hPa
2023-02-05, 14:37:05, 18.12 °C, 74.44% RH, 1031.50 hPa
2023-02-05, 14:37:15, 18.08 °C, 74.06% RH, 1031.50 hPa
2023-02-05, 14:37:25, 18.04 °C, 73.77% RH, 1031.51 hPa
2023-02-05, 14:37:35, 18.04 °C, 73.68% RH, 1031.51 hPa
2023-02-05, 14:37:45, 18.04 °C, 73.77% RH, 1031.51 hPa
2023-02-05, 14:37:56, 18.02 °C, 73.58% RH, 1031.51 hPa
2023-02-05, 14:38:06, 18.01 °C, 73.39% RH, 1031.50 hPa
2023-02-05, 14:38:16, 18.01 °C, 73.30% RH, 1031.51 hPa
2023-02-05, 14:38:26, 18.00 °C, 73.20% RH, 1031.50 hPa
2023-02-05, 14:38:36, 17.99 °C, 73.00% RH, 1031.49 hPa
2023-02-05, 14:38:46, 17.96 °C, 72.81% RH, 1031.50 hPa
2023-02-05, 14:38:56, 17.93 °C, 72.63% RH, 1031.49 hPa
2023-02-05, 14:39:06, 17.93 °C, 72.53% RH, 1031.49 hPa
2023-02-05, 14:39:16, 17.92 °C, 72.53% RH, 1031.49 hPa
2023-02-05, 14:39:26, 17.92 °C, 72.53% RH, 1031.49 hPa
2023-02-05, 14:39:36, 17.91 °C, 72.24% RH, 1031.48 hPa
2023-02-05, 14:39:46, 17.89 °C, 72.24% RH, 1031.49 hPa
2023-02-05, 14:39:56, 17.90 °C, 72.33% RH, 1031.48 hPa
2023-02-05, 14:40:06, 17.87 °C, 72.33% RH, 1031.47 hPa
2023-02-05, 14:40:16, 17.85 °C, 72.24% RH, 1031.47 hPa
2023-02-05, 14:40:26, 17.84 °C, 72.05% RH, 1031.47 hPa
2023-02-05, 14:40:36, 17.83 °C, 71.95% RH, 1031.47 hPa
2023-02-05, 14:40:46, 17.81 °C, 71.95% RH, 1031.47 hPa
2023-02-05, 14:40:57, 17.79 °C, 71.82% RH, 1031.48 hPa
2023-02-05, 14:41:07, 17.77 °C, 71.72% RH, 1031.47 hPa
2023-02-05, 14:41:17, 17.74 °C, 71.53% RH, 1031.48 hPa
2023-02-05, 14:41:27, 17.71 °C, 71.44% RH, 1031.48 hPa
2023-02-05, 14:41:37, 17.71 °C, 71.44% RH, 1031.49 hPa
2023-02-05, 14:41:47, 17.69 °C, 71.25% RH, 1031.49 hPa
2023-02-05, 14:41:57, 17.68 °C, 71.25% RH, 1031.48 hPa
2023-02-05, 14:42:07, 17.67 °C, 71.05% RH, 1031.49 hPa
2023-02-05, 14:42:17, 17.65 °C, 70.96% RH, 1031.50 hPa
2023-02-05, 14:42:27, 17.66 °C, 70.86% RH, 1031.50 hPa
2023-02-05, 14:42:37, 17.65 °C, 70.86% RH, 1031.51 hPa
2023-02-05, 14:42:47, 17.65 °C, 71.05% RH, 1031.52 hPa
2023-02-05, 14:42:57, 17.65 °C, 71.15% RH, 1031.52 hPa
2023-02-05, 14:43:07, 17.64 °C, 71.05% RH, 1031.53 hPa
2023-02-05, 14:43:17, 17.63 °C, 70.96% RH, 1031.53 hPa
2023-02-05, 14:43:27, 17.62 °C, 70.76% RH, 1031.54 hPa
2023-02-05, 14:43:37, 17.60 °C, 70.57% RH, 1031.54 hPa
2023-02-05, 14:43:48, 17.59 °C, 70.57% RH, 1031.54 hPa
2023-02-05, 14:43:58, 17.59 °C, 70.48% RH, 1031.55 hPa
2023-02-05, 14:44:08, 17.58 °C, 70.38% RH, 1031.56 hPa
2023-02-05, 14:44:18, 17.59 °C, 70.38% RH, 1031.57 hPa
2023-02-05, 14:44:28, 17.56 °C, 70.38% RH, 1031.58 hPa
2023-02-05, 14:44:38, 17.55 °C, 70.29% RH, 1031.59 hPa
2023-02-05, 14:44:48, 17.55 °C, 70.29% RH, 1031.59 hPa
2023-02-05, 14:44:58, 17.54 °C, 70.19% RH, 1031.60 hPa
2023-02-05, 14:45:08, 17.52 °C, 70.09% RH, 1031.61 hPa
2023-02-05, 14:45:18, 17.50 °C, 69.90% RH, 1031.62 hPa
2023-02-05, 14:45:28, 17.48 °C, 69.81% RH, 1031.62 hPa
2023-02-05, 14:45:38, 17.48 °C, 69.81% RH, 1031.63 hPa
2023-02-05, 14:45:48, 17.48 °C, 69.81% RH, 1031.63 hPa
2023-02-05, 14:45:58, 17.48 °C, 69.81% RH, 1031.63 hPa
2023-02-05, 14:46:08, 17.48 °C, 69.71% RH, 1031.63 hPa
2023-02-05, 14:46:18, 17.46 °C, 69.71% RH, 1031.63 hPa
2023-02-05, 14:46:28, 17.48 °C, 69.81% RH, 1031.64 hPa
2023-02-05, 14:46:38, 17.47 °C, 69.90% RH, 1031.64 hPa
2023-02-05, 14:46:49, 17.48 °C, 69.81% RH, 1031.64 hPa
2023-02-05, 14:46:59, 17.47 °C, 69.71% RH, 1031.63 hPa
2023-02-05, 14:47:09, 17.47 °C, 69.71% RH, 1031.64 hPa
2023-02-05, 14:47:19, 17.47 °C, 69.62% RH, 1031.64 hPa
2023-02-05, 14:47:29, 17.47 °C, 69.52% RH, 1031.64 hPa
2023-02-05, 14:47:39, 17.46 °C, 69.42% RH, 1031.64 hPa
2023-02-05, 14:47:49, 17.45 °C, 69.33% RH, 1031.64 hPa
2023-02-05, 14:47:59, 17.43 °C, 69.23% RH, 1031.64 hPa
2023-02-05, 14:48:09, 17.43 °C, 69.33% RH, 1031.64 hPa
2023-02-05, 14:48:19, 17.44 °C, 69.52% RH, 1031.65 hPa
2023-02-05, 14:48:29, 17.44 °C, 69.52% RH, 1031.65 hPa
2023-02-05, 14:48:39, 17.43 °C, 69.33% RH, 1031.66 hPa
2023-02-05, 14:48:49, 17.41 °C, 69.23% RH, 1031.66 hPa
2023-02-05, 14:48:59, 17.41 °C, 69.23% RH, 1031.65 hPa
2023-02-05, 14:49:09, 17.39 °C, 69.23% RH, 1031.65 hPa
2023-02-05, 14:49:19, 17.38 °C, 69.13% RH, 1031.65 hPa
2023-02-05, 14:49:29, 17.37 °C, 69.13% RH, 1031.65 hPa
2023-02-05, 14:49:39, 17.37 °C, 69.23% RH, 1031.65 hPa
2023-02-05, 14:49:50, 17.37 °C, 69.13% RH, 1031.65 hPa
2023-02-05, 14:50:00, 17.36 °C, 69.13% RH, 1031.64 hPa
2023-02-05, 14:50:10, 17.34 °C, 69.04% RH, 1031.64 hPa
2023-02-05, 14:50:20, 17.33 °C, 68.95% RH, 1031.63 hPa
2023-02-05, 14:50:30, 17.33 °C, 68.81% RH, 1031.63 hPa
2023-02-05, 14:50:40, 17.32 °C, 68.75% RH, 1031.62 hPa
2023-02-05, 14:50:50, 17.32 °C, 68.72% RH, 1031.61 hPa
2023-02-05, 14:51:00, 17.31 °C, 68.81% RH, 1031.62 hPa
2023-02-05, 14:51:10, 17.31 °C, 68.81% RH, 1031.63 hPa
2023-02-05, 14:51:20, 17.29 °C, 68.72% RH, 1031.61 hPa
