2023-02-06T09:18:49, 16.78 *C, 65.42% RH, 1031.47 hPa
2023-02-06T09:18:59, 16.78 *C, 65.42% RH, 1031.47 hPa
2023-02-06T09:19:09, 16.77 *C, 65.33% RH, 1031.46 hPa
2023-02-06T09:19:19, 16.78 *C, 65.33% RH, 1031.47 hPa
2023-02-06T09:19:29, 16.77 *C, 65.33% RH, 1031.46 hPa
2023-02-06T09:19:39, 16.77 *C, 65.33% RH, 1031.45 hPa
2023-02-06T09:19:50, 16.76 *C, 65.33% RH, 1031.45 hPa
2023-02-06T09:20:00, 16.75 *C, 65.33% RH, 1031.46 hPa
2023-02-06T09:20:10, 16.75 *C, 65.33% RH, 1031.46 hPa
2023-02-06T09:20:20, 16.74 *C, 65.52% RH, 1031.45 hPa
2023-02-06T09:20:30, 16.73 *C, 65.71% RH, 1031.45 hPa
2023-02-06T09:20:40, 16.72 *C, 65.71% RH, 1031.45 hPa
2023-02-06T09:20:50, 16.72 *C, 65.71% RH, 1031.46 hPa
2023-02-06T09:21:00, 16.72 *C, 65.62% RH, 1031.45 hPa
